Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Report,Video,playerId
"Travis Swaggerty","PIT","CF","A+",56,3,,"50",2021,"High","22.8111111","5' 11""","180","L","L","2018 Draft Rnd 1 (PIT)","South Alabama","Swaggerty was a new name to most scouts last summer when he starred as the sparkplug for collegiate Team USA, playing center field and batting atop the lineup along with White Sox 2018 first round second baseman Nick Madrigal. Swaggerty showed bat control and gap power, and was a fringe first rounder for many off that first, extended look on Team USA, but he came out this spring looking like a different player. He had become more physical and changed his swing to incorporate his added strength, lifting the ball and evolving from a gap-to-gap speed player into a potential monster with plus raw power, arm strength and speed. 
Swaggerty didn't put up the gaudy numbers you'd expect for a guy with top level tools in a mid-major conference who had also hit with wood on the Cape, and it was because his new swing would get out of whack. His weight transfer was too aggressive at times, causing him to lose balance and be in a poor position to hit offspeed stuff. Swaggerty's developmental issue is dialing in his swing mechanics and approach to something that best takes advantage of his explosive tools, which could be a multi-year process.","qTYA7IA0cCQ","sa3007512"
"Touki Toussaint","ATL","RHP",,57,8,,"50",2019,"High","23.975","6' 3""","185","R","R","2014 Draft Rnd 1 (ARI)","Coral Springs Christian HS (FL)","Toussaint was a heralded and famous prep pitcher, showing plus-plus stuff as a high school sophomore and eventually going in the middle of the first round in 2014. He was traded to Atlanta as the prize for taking on Bronson Arroyo's contract, and has slowly made adjustments to develop his starter traits and harness his high octane stuff. When he's at his best, Toussaint works 91-94 and will hit 97 mph a couple of times a game when he needs to, mixing in a 55 or 60 grade curveball and hard changeup, though he'll break out the 70-grade hook once or twice a game. With his power approach and delivery, Toussaint still has some command issues at times, but when he dials his stuff down a bit, he's learned to be more pitch efficient. At the least, Toussaint is an ideal candidate to be a setup man or closer who can go multiple innings, but there's a real chance he can be the no. 2 or 3 starter that teams work so hard, and go through so many arms, to find, and he's ready to contribute now.","qyoPq-u-J80","16929"
"Dylan Cease","CHW","RHP","MLB",58,5,,"50",2019,"High","24.4527777","6' 2""","190","R","R","2014 Draft Rnd 6 (CHC)","Milton HS (GA)","Cease burst onto the scouting scene in 2013 when, as a junior in high school, he hit 96 mph and flashed an above average curveball at the heavily-scouted NHSI tournament in Cary, NC. He mostly held serve in his senior year, occasionally touching a tick or two higher or flashing 60 with his curveball, but was still a stuff over command type. The Cubs went well overslot to get Cease in the sixth round with a $1 million bonus, below what his talent was worth, but appropriate since clubs knew he needed Tommy John surgery right after he signed. 
He's slowly made progress in terms of starter traits during his pro career, while his velocity has increased to where he sits 95-98 mph now. In 2018, he took the biggest step forward, dominating High-A and Double-A at age 22, and some scouts are now projecting him as a No. 2 or 3 starter. We still aren't completely convinced, as Cease is still control over command, and may fit best in a multi-inning relief role, or as a starter who doesn't face any hitters a third time. ","QMBKB06eigI","18525"
"Francisco Mejia","SDP","C","MLB",59,6,,"50",2019,"High","24.6222222","5' 10""","175","S","R","2012 J2 (CLE)","Dominican Republic","Acquired from Cleveland for Brad Hand, Mejia is one of the more entertaining hitters to watch in the minors, but he has a few flaws that need to be corrected for him to reach his substantial ceiling, and possibly for him to profile at all. He has a very aggressive approach and a funky, high-effort swing from both sides of the plate, and they're only sustainable because Mejia has elite hand-eye coordination and bat control. His swing-happy approach could limit his on-base ability quite a bit, and possibly his power output, too, which would be less of a problem if Mejia could definitely stick as a catcher. Mejia has an elite arm but is a below-average receiver currently. 
Before they traded him, Cleveland tried Mejia at third base and the outfield corners. San Diego seems inclined to just let him catch, but if Wil Myers' defensive movement is any indication, they're open to trying new things. There are probably certain types of pitchers that Mejia can catch without much issue, and it seems logical to pair him and Austin Hedges in a way that hides Mejia's issues while he can work on them and still gets reps. If he does have to move to, say, right field, the lack of plate discipline becomes an issue because the offensive bar out there is much higher. The scouting report reads much like Jorge Alfaro's, except Mejia is a switch-hitter with better natural bat control.","zjm3SlBQSVM","16403"
"Justus Sheffield","SEA","LHP","MLB",60,1,,"50",2019,"Med","24.0777777","5' 10""","195","L","L","2014 Draft Rnd 1 (CLE)","Tullahoma HS (TN)","Sheffield has now been traded twice: once from Cleveland to New York for Andrew Miller, and then from New York to Seattle for James Paxton. Except for his 2017 Fall League excursion, during which Sheffield had the best stretch of command he's ever had, he's had issues throwing strikes. This, combined with some injuries (an oblique strain in 2017, shoulder stiffness in 2018) and the way Sheffield's body has thickened, has led some scouts to conclude that Sheffield will eventually be a reliever, albeit a very good one due to the quality of his stuff. We don't think his fastball is going to miss as many bats as you might expect given it's velocity. It's a mid-90s bowling ball sinker with well-below average spin rate. This should pair well with Sheffield's changeup, but it may not effectively set up his slider, which on its own is excellent. He's more likely to end up a league-average starter than a middle or top of the rotation type, and he might be a dynamic, multi-inning reliever.","tW5B2GiJG4k","17285"
"Luiz Gohara","ATL","LHP","-1",61,9,,"50",2019,"High","23.8638888","6' 3""","240","L","L","2012 J2 (SEA)","Brazil","Gohara has had an up-and-down couple of years; he's dealt with serious health issues and death in his immediate family, and living far away from home, along with some relatively less important professional matters, has also proven to be burdensome. A series of off-the-field issues and maturity concerns led the Mariners to sell low on him in the trade that brought him to Atlanta. He has a frame along the lines of a Prince Fielder or a CC Sabathia in that he looks unathletic when static, but you can see he's deceptively athletic for his size. Gohara has reportedly recently lost a lot of weight and gotten into the best shape of his life (alarm sound). He has high octane stuff with a plus fastball/slider combo and a changeup that's come to be average, along with better control and command than you might expect from a young power pitcher. Gohara is very close to losing eligibility, but he may be the rare case of a player who actually demonstrates in March that the changes he's made are real and moves up a list, since it's hard to upgrade a guy based on verbal reports that he's making progress in non-competitive environments.","d7MfWIXABS8","15166"
"Oneil Cruz","PIT","CF",,62,4,,"50",2021,"High","21.6861111","6' 7""","175","L","R","2015 J2 (LAD)","Dominican Republic","A peerless physical freak, Cruz is a 6-foot-7 shortstop with elite raw arm strength and raw power projection. He body-comps more closely to someone like Harold Carmichael or Brandon Ingram than he does anyone in his own sport, and there are several vastly different ideas as to how his body and game will develop as he fills out. Despite his ectomorphic build, lever length, and physical immaturtiy, Cruz has performed and has handled aggressive assignments pretty well. The Dodgers sent him to Low-A Great Lakes when he was 18, where he ran into 20 extra-base hits in 90 games before being traded to Pittsburgh at the deadline for Tony Watson. He hit .286/.343/.488 in 2018 while repeating Low-A. 
There's real risk Cruz maxes out as a 40 bat, but as long as he's getting to most of that power, he'll likely profile just about anywhere on the defensive spectrum. So, where exactly on the defensive spectrum will that be? Shortstops this big don't exist, but there's some sentiment in the industry that Cruz will be able to stay there, especially as we enter the era of the lead-footed shortstop. Others consider Cruz's speed viable in center field long term. Those who think he'll thicken significantly have him projected to either right field or third base, and others think his size would make for a wonderful target at first. One source thinks Cruz should just be pitching, due to his arm strength and athleticism. Clearly this is one of the more bizarre prospects in baseball with countless possible career outcomes. Most of them are very positive or highly entertaining; several of them end in stardom.","GzwLKufiG4A","sa917318"
"Nate Pearson","TOR","RHP","AAA",63,4,,"50",2020,"High","23.8083333","6' 6""","245","R","R","2017 Draft Rnd 1 (TOR)","Central Florida JC (FL)","We still know very little about Pearson compared to most 22-year-old pitching prospects. He popped up seemingly out of nowhere as a sophomore at a lesser Florida junior college but quickly entered the first round discussion when JuCo ball kicked off in January of 2017. As the draft approached, Pearson was showing better secondary stuff in games and bumping 100 mph in bullpen sessions for scouts. He forced his way up draft boards even though teams had little history with him, and some were skeptical of the new velocity or concerned it would lead to injury. 
Pearson made seven short but dominant appearances in the Northwest League during the summer and was poised to begin 2018 at Hi-A Dunedin (an aggressive assignment), but he suffered an intercostal strain and began the season on the DL. In his final extended spring rehab start, he was sitting 94-96 and touching 98 with the fastball. He finally toed a Florida State League rubber that week and lasted 1.2 innings before a comebacker struck his wrist and forearm and fractured his ulna. The injury ended his regular season after just five outs. 
After rest and some rehab during instructs, Pearson went to Arizona for the Fall League. His stuff was electric there, his fastball always sitting 95-99 and cresting 100 mph often. He threw a 104 mph fastball and a 95 mph slider during the Fall Stars game, and he was able to dump his upper-70s curveball in for strikes throughout his six-week tenure, though he threw no changeups. Pearson was also horribly wild at times. It's fair to conclude that rust was to blame for his occasional wildness but because the pro side of the industry has seen so little of Pearson, it's impossible to know for sure. 
There's a strong possibility that he just ends up in the bullpen, but if he does and he breathes one-inning fire like he did during Fall Stars, he basically has Aroldis Chapman's stuff (though perhaps not the same extension or approach angle). Provided he stays healthy, Pearson's future is bright, albeit unclear. He's likely to be handled with care for a while in order to keep him healthy and manage his workload after what was essentially a lost 2018, but given the wide variance and top shelf stuff, there is still frontline starter potential.","t_D8-uewjYw","sa3005097"
"Brusdar Graterol","MIN","RHP","MLB",64,3,,"50",2021,"High","21.7916666","6' 1""","180","R","R","2014 J2 (MIN)","Venezuela","Graterol signed for $150,000 in 2014 out of Venezuela, got Tommy John surgery within a year, then got on the scouting radar a couple years later, when he was hitting the high-90s on the backfields in Ft. Myers, eventually hitting 100 mph. Before 2018, he had only made a handful of appearances outside of the DSL and GCL. His 2018 included eight sterling starts in Low-A and 11 very solid starts in Hi-A, all as a teenager. 
Graterol has the making of a frontline starter, sitting 96-99 and hitting 100 mph often, mixing in a plus-flashing slider and a changeup that's above average at its best. He's a short strider and a bit of a dart-thrower, which is unusual for a pitcher that hits 100, but it helps Graterol throw more strikes than you would assume from a teenager hitting this kind of heat with an arm surgery in his past. The poor extension makes his velocity play lower than the radar gun readings, but with some incremental improvements in pitch execution and command, Graterol could shoot up our overall list, as he does more things like Sixto Sanchez than anyone else in the minors.","5VxhHnSA2hg","20367"
"Nolan Jones","CLE","3B","AA",65,1,,"50",2021,"Med","20.9","6' 4""","220","L","R","2016 Draft Rnd 2 (CLE)","Holy Ghost Prep HS (PA)","Scouts' opinions about where on the defensive spectrum Jones will end up are all over the map. He got quite big not long after he was drafted and seemed destined for first base, and while there's still a chance he ends up there eventually, he looked leaner last year and has a better chance of staying at third for a while. Some clubs think he'll move to right field, and the contact issues Jones has had due to his lever length are problematic if he doesn't stay at third.
We're intrigued by the three-true outcomes possibilities here, as Jones already has huge power and might grow into more, and he's also had some of the higher walk rates in all of the minor leagues. Opposing pitchers are going to have to be careful with him or risk paying a 400 foot price, so we expect his on base ability to hold water at the upper levels. He could reach Double-A Akron as a 21-year-old later in the year if he performs during the spring.","M8MOVqKoFgA","sa917941"
"Alec Bohm","PHI","3B","AA",66,2,,"50",2021,"High","23.8555555","6' 5""","240","R","R","2018 Draft Rnd 1 (PHI)","Wichita State","Bohm was under the scouting radar until a breakout campaign on Cape Cod, during which both he and teammate Greyson Jenista (a second round pick by the Braves) emerged as top tier bats in the 2018 draft. During the spring, Bohm steadily worked his way up from the late first round to the third overall pick by hitting more than scouts expected a long-limbed power threat to hit. Bohm pulls this off by keeping his arms tucked in during his swing and having a flatter plane; as a result he's both quicker into the zone and in the zone longer than most power hitters. Ideally, hitters with Bohm's plus-plus power have more loft in their swing plane and extend their arms to generate the most power, with Kris Bryant an example of a hitter with a similar frame and this more power-focused approach. We're projecting Bohm as a 50 bat with 60 game power and split the difference a bit--he could go even more extreme for power at the expense of contact--but there are a number of ways this offensive skillset could turn out, particularly with new and more progressive hitting instruction this year for the Phillies. Bohm's defense also could go a few different ways, depending how much weight he adds to his lean frame and how his lateral quickness ages. Defensively, Bohm looks major league average at times and clearly below average at others, but he'll get plenty of chances to make things work at third base.","GOKNy9Trues","sa3007284"
"Spencer Howard","PHI","RHP","AA",67,3,,"50",2020,"High","23.8694444","6' 3""","205","R","R","2017 Draft Rnd 2 (PHI)","Cal Poly","Teams were understandably late to identify Howard as an upper crust draft prospect. He redshirted, then only threw 36 innings the following spring as a redshirt freshman and began his draft year in the bullpen, a relative unknown. He moved to the rotation in March and crosscheckers started showing up to see him much later than is typical for a first look at a second round talent. In 2018, his first full season as a member of the rotation, Howard thrived and late in the year his stuff took off. After two dominant months to close his regular season, Howard threw a no hitter in the Sally League playoffs. During that stretch, he was sitting 94-98 for much of his starts and flashing three good secondary pitches, the best of which is a disappearing, low-80s changeup. Howard can also freeze hitters with a mid-70s curveball and use it to get ahead, and his mid-80s slider has enough length to miss bats away from righties. Though he has below average fastball command, Howard's ability to throw his breaking balls for strikes significantly improves his chances of starting. His inning count in 2018 (112) was about the same as it was if you combine his college and pro workload from 2017, and it's fair to assume that even if Philly wants to him to throw more innings, an innings cap might impede a 2019 debut, even if Howard's stuff is ready. He has considerable upside if he can retain his stuff while carrying a 160-plus inning burden.",,"sa3004923"
"Ronny Mauricio","NYM","SS","A",68,3,,"50",2023,"High","19.1861111","6' 3""","166","S","R","2017 J2 (NYM)","Dominican Republic","Much of scouting teenage prospects has to do with identifying good athletes and good frames, and like many of this century's All-Star, power-hitting shortstops, Ronny Mauricio is both. A broad-shouldered but lean 6-foot-3, Mauricio looks like Manny Machado, and Hanley Ramirez, and Carlos Correa, and a host of other super talents all did at age 17: long-limbed, with surprising grace, flexibility, and coordination for someone this age and size, and possessed of physical gifts that might enable them to stay at shortstop while also growing into huge power. The Goldilocks Zone. But Mauricio is also more than just a frame/athleticism/projection bet. He has relatively advanced feel to hit for a teenage switch-hitter, his timing is fine, and he hasn't exhibited any confidence-altering, contact-related red flags, like lever length or poor plate discipline. He may outgrow shortstop but if he does, it means big power on a plus-gloved third baseman. We were surprised by Mauricio's GCL assignment, and then surprised further by both his admirable statistical performance there and his late-season promotion to Kingsport. He might be ushered through the system more quickly than we anticipated when he signed. Regardless of where he's playing, once Mauricio turns a physical corner, he's likely to rocket up this list.","NvOA8y_cZGI","sa3006887"
"DL Hall","BAL","LHP","A+",69,1,,"50",2020,"High","21.7277777","6' 0""","185","L","L","2017 Draft Rnd 1 (BAL)","Valdosta HS (GA)","Though he'd flash three plus pitches and at times look like a top 10 pick, teams had the kind of pre-draft concerns about Hall that are typical of high school pitchers (holding stuff deep into starts, command), and some teams rounded down due to perceived off-field issues, concerns that have proven to be unfounded, or at least were quickly remedied, in pro ball. Hall has also made on-field progress throughout 2018. Early in the season, he was wild. As it wore on, some mechanical issues were ironed out, and his changeup feel turned a corner through increased use. He dominated for long stretches of games during the second half of the season, including a commanding July during which he allowed just 10 hits and struck out 39 in 26.2 innings. The strike-throwing is still not great, but it has gotten better, and Hall's stuff is really good. At around 6-feet even, Hall is short but he's thick and strong, and scouts aren't worried his durability. He has mid-rotation upside if his command continues to progress. He's in the midst of answering every pre-draft question asked of him and has a chance to be an All-Star.","uN2TRUVwjs4","sa3005282"
"Ronaldo Hernandez","TBR","C",,70,7,,"50",2022,"High","22.5833333","6' 1""","195","R","R","2014 J2 (TBR)","Colombia","Hernandez's career got off to a slow start in part due to his conversion (he was originally a SS/3B who the Rays asked to catch) but also due to injury, which cost him much of his first pro season. He so dominated the DSL in his second go at it that the Rays had him skip the GCL and sent him right to Princeton the following year. The last two seasons, Hernandez has slugged .500 as a young-for-the-level regular, and he was one homer off the Midwest League lead in 2018. He has above average raw power and sufficient feel to hit that he'll get to most of it, certainly enough to profile at catcher. While Hernandez is still a below average receiver and inconsistent ball-blocker, he shows enough aptitude for both to project that he'll be an average defender at maturity, and he has run-stopping arm strength. He's a top 100 prospect.","i2Oumgt06Go","sa881850"
"Matthew Liberatore","TBR","LHP","A",71,8,,"50",2022,"High","20.5972222","6' 5""","200","L","L","2018 Draft Rnd 1 (TBR)","Mountain Ridge HS (AZ)","Oakland's selection of Kyler Murray seems to have been the catalyst for Liberatore's draft day slide. He was arguably the best high school pitcher in the class, evaluated heavily early on by the Giants (who picked second), before settling into the 7-13 range by June. When Murray was selected, teams picking behind Oakland suddenly had access to one more player than they had anticipated. It meant Travis Swaggerty was there for Pittsburgh at 10, which meant Grayson Rodriguez was there for Baltimore at 11, and so on. Other teams hadn't considered the possibility that Libby would fall to them and either hadn't done a lot of background work, or weren't comfortable with how he might alter their bonus pool math. When Liberatore is at his best, he throws strikes with 93-97 for the first several innings of his starts, show you a 70 curveball, a good change, and alter the timing of his delivery to toy with hitters. He added a slider part way through his junior year and instantly had nascent feel for it. At other times, he'd sit 88-92 with scattershot command and get too cute with Johnny Cueto shenanigans. But the frame, athleticism, arm strength, and ability to spin are all ideal, and there's immense ceiling here.","IayXSFEwcVU","sa3008163"
"Bryse Wilson","ATL","RHP",,72,10,,"50",2020,"Med","22.475","6' 1""","224","R","R","2016 Draft Rnd 4 (ATL)","Orange HS (NC)","Wilson is a scout favorite, as an aggressive bulldog who relies on spotting his fastball in all quadrants of the zone, with the velocity, movement, and command all grading above average on his various fastballs. His slider will flash 55 in ideal situations, but plays closer to fringe average regularly, while his changeup also flashes 55 at times and is better than the slider most games. Wilson fits in today's game because the concerns around him involve turning over the lineup and using his third pitch, but he normally has a plus fastball, above average command, plus plus makeup, and at least one average to above offspeed pitch, so he could be a great 2-3 inning reliever who works in various roles. There's still a chance he could be a traditional starter, but the Braves' pitching depth likely dictates a hybrid role in the short term.","-W1-8t94J3M","19990"
"Miguel Amaya","CHC","C",,73,1,,"50",2022,"High","21.2555555","6' 1""","185","R","R","2015 J2 (CHC)","Panama","Even as he struggled early as a pro to perform on paper, Amaya drew trade interest from clubs hoping to leverage the Cubs' championship aspirations to convince the club to part with him. The Cubs refused and have been rewarded, as the offensive potential promised by Amaya's graceful swing and burgeoning physicality began to actualize in 2018. Amaya's hands have life, and work in a tight little loop as he accelerates them to swing. He can pull and lift balls in various parts of the zone with regularity, and the impact of his contact is only limited by his average bat speed. The physical grind of catching is likely to dilute his in-game offensive production a little bit, but unless the beating he takes back there starts to take away from his defensive abilities (which sometimes happens to young catchers), Amaya is a pretty good bet to have some kind of big league career, and, if the bat maxes out, he'll be an above-average regular. He turns 20 in March and will likely head to Hi-A next year. How his advanced defensive ability and less-advanced bat develop could affect how quickly the Cubs push him: slowly if they want to wait for the latter or, depending on how much he hits early as a big leaguer, quickly if they don’t.",,"sa917354"
"Yusei Kikuchi","SEA","LHP","MLB",74,2,,"50",2019,"Low","28.9833333","6' 0""","194","L","L","2018 Free Agent (SEA)","Japan","One could argue the 27-year-old Kickuchi doesn't belong on a prospects list, but he's not even the oldest player on The Board, and you'd probably like to know more about him, so here we go. MLB teams had interest in Kikuchi when he was a teenager and several of them courted him before he was drafted into NPB. Though minor ailments limited his early-career workload, he's been one of the better starters in Japan for the last six years and has been especially good for the last two, before Saitama posted him. He started getting into pitch design after his parent club installed a TrackMan unit in 2016. 
Like a lot of Japanese pitchers, Kikuchi has a kitchen sink repertoire that features a splitter and various breaking balls. Everything is above-average, except for Kikuchi's fastball. Mechanically, Kikuchi is similar to MacKenzie Gore, although his stride direction is more direct to the plate and his delivery has a brief intermission as his landing leg descends (pause) then everything comes home. His arm action is efficient and Kikuchi's slot is vertical, something it seems that more analytically inclined teams prefer. He sounds like a mid-rotation starter who, for our purposes, will enter his decline phase earlier than everyone else on this list because of his age.","Ln6HviITisE","20633"
"Jonathan India","CIN","3B","AA",75,4,,"50",2020,"Low","23.4888888","6' 0""","200","R","R","2018 Draft Rnd 1 (CIN)","Florida","India was a well-known prep prospect in South Florida, but the combination of a solid, but not spectacular, tool set and seven-figure asking price sent him to Florida. His first two years were about as expected; India got regular ABs but didn't have any performative breakthroughs. In his draft year, India lost bad weight and added some strength, made some offensive adjustments, and exploded, torching the best conference in the country to the tune of a 1.21 OPS and 21 homers in 68 games. Scouts saw early in the spring that his tools had improved and the performance along with them, but it wasn't until mid-way through the season that he seemed like a sure first round pick. He eventually looked like a consensus top 10 pick in the weeks leading up to the draft because the first round had so few college bats. India has 55 raw power (60 for some scouts) and is a 55 defender with a 55 arm at third base. He played some shortstop at Florida and could be a limited-range fill-in there, with a chance to fit at second base if needed for longer stretches. We see India continuing to tap into his power, with something like a 50 hit tool and 55 power, with slightly more strikeouts than league average, but has the ability to be a hit-over-power type of player if he and the Reds choose that kind of approach.","KPK-GaBvm6U","sa3008178"
"Triston McKenzie","CLE","RHP",,76,2,,"50",2020,"Med","21.7","6' 5""","160","R","R","2015 Draft Rnd 1 (CLE)","Royal Palm Beach HS (FL)","McKenzie was a high-profile prep pitcher in south Florida before the 2015 draft, and the main question about him focused on his rail-thin 6-foot-5, 160 pound frame. If you thought he would put on a good bit of weight, then you could see him adding velocity to his 88-92 mph heater. But the question was whether he would have enough stuff and durability to start if he stayed about the same size. He's filled out some since the Indians took him in the comp round in 2015, but it looks like he's always going to be very thin. 
His velocity has crept up a bit to 90-93, hitting 95 mph, but the life, plane, deception, extension, and command combine to make the fastball an above average pitch now. The additional arm speed has helped his breaker improve; it flashes plus at times. And he's kept the positive attributes scouts originally noticed in his delivery and the athleticism, so the command may also end up being plus. The changeup is a 45, so his curve, pitchability, and deception are the carrying tools we think will turn him into a league average starter. McKenzie also had his first pro injury in 2018, and his strikeout rate was down in his first taste of Double-A, before he had upper back issues that have him on the shelf to start 2019. So long as his stuff in intact upon return, we think he's a No. 4 starter with a chance to be a No. 3.","SaiUEE5AOzQ","sa874760"
"Daulton Varsho","ARI","C","AA",77,2,,"50",2021,"High","23.9416666","5' 10""","190","L","R","2017 Draft Rnd 2 (ARI)","Wisconsin-Milwaukee","The list of catchers with speed comparable to Varsho's is pretty short. J.T. Realmuto and Jorge Alfaro are two current examples, but Varsho reaches a top speed faster than either of them, and is an actual threat to steal bases. He's also a doubles machine with natural feel for gap-to-gap contact, and if soft liners trickle between outfielders, Varsho can turn those into hustle doubles. 
He remains a below-average receiver and often has trouble firmly squeezing balls in his glove, at times struggling to block breaking stuff in the dirt. Because Varsho is an above-average athlete, most scouts think these aspects of catching will become viable in time and that Varsho may just be behind in this regard due to his cold weather, small school background. His fringe arm strength plays up on scouts' stopwatches because he's very quick out of his crouch, so Dbacks games won't turn into track meets with him behind the plate. He has a good chance to be an offensive-minded, everyday catcher.","ePZeHPlIfmk","sa3002838"
"Cole Winn","TEX","RHP",,78,1,,"50",2021,"Med","20.5444444","6' 2""","195","R","R","2018 Draft Rnd 1 (TEX)","Orange Lutheran HS (CA)","Before his senior year in high school, Winn moved from Colorado to Orange Lutheran, a powerhouse program in southern California. He steadily crept up boards in the spring as his stuff and command kept impressing, overriding concerns that he didn't have much projection or plus athleticism. 
Winn works 92-95, and hits 97 mph, with a flat-planed, rising fastball that fits well up in the strike zone and he mixes in a plus-flashing curveball that pairs well with it down in the strike zone. He also has an average slider and changeup, though there's a chance the change grows into a plus offering at some point. His command projects to be above average, as he already uses his smooth delivery to deliver pitches to fine locations rather than just over the plate. He was largely seen as the safest pick amongst the 2018 prep pitchers, a notoriously risky demographic. Texas has a deliberate approach to developing prep pitching with an onboarding process that includes a pro debut in instructional league, so Winn's actual regular season pro debut will come in 2019. He was throwing hard in the fall and could move quickly through the minors.","JTWvLDwruWs",
"Jose Suarez","LAA","LHP","MLB",79,2,,"50",2019,"Med","22.4388888","5' 10""","180","L","L","2014 J2 (LAA)","Venezuela","Squat little pitching prospects aren't supposed to suddenly throw three ticks harder than they did the year before, but Suarez went from sitting 89-92 to sitting 92-94, and rose three levels last year. The feel Suarez developed for his changeup and curveball while he had a 40 fastball was necessary for his survival at that time. Now, they're out pitches after he gets ahead of hitters with this new heat. There's some risk that this fastball backs up, as upticks in velocity are sometimes fleeting and pitchers soon return to what they've been for most of their careers. So long as that doesn't happen, Suarez projects as a good fourth starter and should help the big league club this year.","ePgdXSuhTp4","19911"
"Will Smith","LAD","C","MLB",80,4,,"50",2019,"Med","25.2027777","6' 0""","192","R","R","2016 Draft Rnd 1 (LAD)","Louisville","In the 2016 draft, Smith was a scout's favorite on a loaded Louisville club that had eventual top-10 overall picks Corey Ray and Brendan McKay as the headliners. At that point, he was a 55 runner with a 55 glove behind the plate and a plus arm, but didn't offer much offensive impact due to a gap-to-gap approach. He made a late charge and rose from a third round pick to eventually being taken by the Dodgers in the compensation round. 
In the pros, the Dodgers did with Smith what they've done with many other hitters, teaching him how to properly lift the ball and be aggressive in his swing mechanics. This agreed with Smith, unlocking dormant raw and game power while lifting the ball much more often. His contact rate was about the same until a late 2018 promotion to Triple-A, where he was exposed a bit. Scouts think there's an exploitable hole in his swing and that he's more of a .240-type hitter if he wants to keep hitting for power in games. He's still the same runner, defender, and thrower, and can reasonably play almost any position on the field, so even .240 with 20 homers would be a very valuable piece to a contending team, even more so than Austin Barnes.","PAOgaHuSvPg","19197"
"Yusniel Diaz","BAL","RF","AA",81,2,,"50",2019,"Med","23.6777777","6' 1""","195","R","R","2015 J2 (LAD)","Cuba","Diaz was a prominent and expensive part of the Dodgers '15-'16 international spending spree that is now the subject of a Department of Justice investigation. He signed for a $15 million bonus -- the Dodgers paid a dollar-for-dollar tax on his deal for exceeding their pool limit -- during a CBA era that was more lucrative for international players. So advanced was Diaz that at age 19, the Dodgers saw fit to send him directly to Hi-A Rancho Cucamonga the following year, and he performed admirably for what amounted to a season and a half before enjoying a statistical breakout at Double-A Tulsa starting late in 2017. His stock and performance reached a pinnacle in 2018; Diaz slashed .314/.428/.477 with Tulsa, homered twice and won MVP at the Futures Game in July. Shortly thereafter he was traded to Baltimore as the headline prospect in the Manny Machado deal. 
Diaz has a well-rounded collection of average tools that, in aggregate, promise to make him a valuable everyday big leaguer. He has slowly whittled down what was once a pretty big leg kick into something more simplistic, and it seems to have benefitted Diaz's timing without subtracting from his power. He can open up and get the bat head on pitches in, and he has feel for opposite-field contact if he's a little late on something away from him. We'd be surprised if Diaz became a 3-plus win annual WAR producer, but we think he's a very stable everyday outfield prospect who'll be big league ready in the next year and a half or so.","cdLpzBiXeNQ","sa912848"
"Andrew Knizner","STL","C",,82,2,,"50",2019,"Med","25.3555555","6' 1""","200","R","R","2016 Draft Rnd 7 (STL)","North Carolina State","Knizner backed up his breakout 2017 campaign with a .313/.368/.430 2018 season line, mostly at Double-A. His swing is compact and rhythmic, and he's very difficult to beat with velocity because he can time just about everything. This, combined with an ability to guide the barrel around the zone, drives a promising, contact-first offensive package that would be quite valuable at catcher. Knizner moved from shortstop (in high school) to third base (as a college freshman) to catcher (as a sophomore) and has been behind the plate for four seasons now. He remains below-average in most aspects of catching, but isn't so bad that he'll surely have to move. He's not nearly as skilled a defender as Carson Kelly, but Knizner has a much better chance to make an offensive impact. Yadier Molina is signed through 2020, which creates the illusion of a catching logjam, but he's somewhat fragile and Knizer and Kelly's experience at corner infield spots (Knizner has played some first base as a pro, but did not in 2018) could enable the Cardinals to carry all three of them at some point. If tasked with everyday duty, we think Knizner would produce like an average everyday player.","_tdoPT13xtw","19514"
"Cole Tucker","PIT","SS",,83,5,,"50",2020,"High","23.9388888","6' 3""","185","S","R","2014 Draft Rnd 1 (PIT)","Mountain Pointe HS (AZ)","Tucker was the Arizona Fall League's most elegant defender. Rangy and smooth, sure-handed and graceful, he has room to add a few pounds as he ages while still remaining above-average at short. A torn labrum in 2015 cast doubt on Tucker's ability to stay there if his arm strength weren't to return but, though it took quite a while, it is not only back but has improved, and he now has a 70 arm. 
With such an excellent defensive foundation in place, it's very likely that Tucker becomes an everyday player. What happens with his bat will determine how much of an impact he makes, and that forecast is blurry. Right now, Tucker has surprising contact skills for someone as lanky as he is and he's adept at identifying balls and strikes. His size and currrent swing both have significant room for growth. Tucker's bat path enters the hitting zone in such a way that it causes him to pound the ball into the ground. If that gets tweaked, and he also adds strength into his mid-20s, he might suddenly start hitting for power. This is a rare, high-variance prospect who also has a high floor. If the power comes, Tucker will be an All Star; if it doesn't he'll just be a solid everyday player.","lY4O7BtOreg","17326"
